num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2021S008778;21/05/2021;12:50:00;"CALL. AGUACATE, 30";30;11;CARABANCHEL;Atropello a persona;Despejado;Turismo;Peatón;Más de 74 años;Mujer;14;Sin asistencia sanitaria;"436565,575";"4469245,552";N;NULL
2021S008780;21/05/2021;12:10:00;"CALL. MISTERIOS, 20";20;15;CIUDAD LINEAL;Choque contra obstáculo fijo;NULL;Turismo;Conductor;De 30 a 34 años;Mujer;NULL;NULL;"445640,587";"4476785,557";N;NULL
2021S008780;21/05/2021;12:10:00;"CALL. MISTERIOS, 20";20;15;CIUDAD LINEAL;Choque contra obstáculo fijo;NULL;Turismo;Conductor;De 50 a 54 años;Hombre;NULL;NULL;"445640,587";"4476785,557";N;NULL
2021S008781;21/05/2021;11:30:00;CALL. GALILEO / RODRIGUE SAN PEDRO;16;7;CHAMBERÍ;Atropello a persona;LLuvia intensa;Turismo;Conductor;De 45 a 49 años;Hombre;14;Sin asistencia sanitaria;"439742,373";"4475907,873";N;NULL
2021S008781;21/05/2021;11:30:00;CALL. GALILEO / RODRIGUE SAN PEDRO;16;7;CHAMBERÍ;Atropello a persona;LLuvia intensa;Turismo;Peatón;De 60 a 64 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;"439742,373";"4475907,873";N;NULL
2021S008782;21/05/2021;12:40:00;CALLE ALCALA/ ANGEL GONZALEZ TEJEDOR;237;4;SALAMANCA;Colisión lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 30 a 34 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;"444291,761";"4475898,121";N;NULL
2021S008782;21/05/2021;12:40:00;CALLE ALCALA/ ANGEL GONZALEZ TEJEDOR;237;4;SALAMANCA;Colisión lateral;Despejado;Todo terreno;Conductor;De 40 a 44 años;Mujer;14;Sin asistencia sanitaria;"444291,761";"4475898,121";N;NULL
2021S008785;21/05/2021;13:50:00;CALL. CIUDADANIA / CALL. VILLAJOYOSA;3;17;VILLAVERDE;Atropello a persona;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;"441321,435";"4467568,765";NULL;NULL
2021S008785;21/05/2021;13:50:00;CALL. CIUDADANIA / CALL. VILLAJOYOSA;3;17;VILLAVERDE;Atropello a persona;Despejado;Turismo;Peatón;De 40 a 44 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;"441321,435";"4467568,765";N;NULL
2021S008786;21/05/2021;14:00:00;CALL. GENERAL RICARDOS / CALL. MONSEÑOR OSCAR ROMERO;205;11;CARABANCHEL;Alcance;Despejado;Turismo;Conductor;De 35 a 39 años;Hombre;14;Sin asistencia sanitaria;"436825,759";"4470396,234";S;NULL
2021S008786;21/05/2021;14:00:00;CALL. GENERAL RICARDOS / CALL. MONSEÑOR OSCAR ROMERO;205;11;CARABANCHEL;Alcance;Despejado;Turismo;Conductor;De 40 a 44 años;Mujer;14;Sin asistencia sanitaria;"436825,759";"4470396,234";N;NULL
2021S008787;21/05/2021;14:30:00;CALL. PEDRO BOSCH / CALL. MENDEZ ALVARO;0;2;ARGANZUELA;Alcance;NULL;Turismo;Conductor;De 21 a 24 años;Hombre;14;Sin asistencia sanitaria;"442273,144";"4471909,577";N;NULL
2021S008787;21/05/2021;14:30:00;CALL. PEDRO BOSCH / CALL. MENDEZ ALVARO;0;2;ARGANZUELA;Alcance;NULL;Turismo;Conductor;De 45 a 49 años;Hombre;14;Sin asistencia sanitaria;"442273,144";"4471909,577";N;NULL
2021S008787;21/05/2021;14:30:00;CALL. PEDRO BOSCH / CALL. MENDEZ ALVARO;0;2;ARGANZUELA;Alcance;NULL;Turismo;Pasajero;De 21 a 24 años;Mujer;14;Sin asistencia sanitaria;"442273,144";"4471909,577";N;NULL
2021S008787;21/05/2021;14:30:00;CALL. PEDRO BOSCH / CALL. MENDEZ ALVARO;0;2;ARGANZUELA;Alcance;NULL;Turismo;Pasajero;Menor de 5 años;Mujer;14;Sin asistencia sanitaria;"442273,144";"4471909,577";N;NULL
2021S008788;21/05/2021;14:30:00;"CALL. ALCALA, 157";157;4;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 25 a 29 años;Mujer;14;Sin asistencia sanitaria;"442808,276";"4475203,501";N;NULL
